,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,209359.177399719,708001.695931645,41.9839994470267,16.999999488,22,13,9,82.8461538461538,29,157,13,13,4,0
sparse-infra,207630.199440855,701280.956759617,44.9999999958899,20.9999999999934,23,13,10,173.846153846154,49,284,13,13,11,0
mod-infra,209535.340120189,708749.9781223,43.9999998969314,20.9999999998295,24,13,11,292.153846153846,49,539,13,13,10,0
dense-infra,205015.819053892,690939.533033141,54.9807999998228,24.9999999999934,25,13,12,479.846153846154,49,737,13,13,11,0
