,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
persistent-static,4415032.11150695,14836233.7092666,158.705439994296,75.7387039979633,111.5,72,39.5,650.559027777778,29.25,906,64.25,72,59.5,0
persistent-mobile,5389762.50087509,18164922.0892887,90.8841610414074,46.7970135766629,111.5,72,39.5,624.906249999999,24.5,1109.25,52.5,72,47.75,0
transient-static,4512926.77147403,15169876.0190668,147.498879815161,75.7494046699644,111.5,72,39.5,616.684027777778,-604.5,896.75,62.25,70,59,2
transient-mobile,5389762.50087509,18164922.0892887,90.8841610414074,46.7970135766629,111.5,72,39.5,624.906249999999,24.5,1109.25,52.5,72,47.75,0
