,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,4331958.68389317,14548393.4564965,174.97599999998,90.9919999999789,110,72,38,751.111111111111,-946,1047,70,70,67,2
sparse-infra,5679578.20676218,19147213.3000392,44.5423359999999,29.5599743998296,111,72,39,91.6388888888889,-946,393,39,70,35,2
mod-infra,4346888.46942385,14618694.1979684,157.999999999987,67.9999999999855,112,72,40,766.888888888889,-224,1047,70,70,67,2
dense-infra,3930854.63869552,13197731.3825337,211.999999978189,93.9999999932824,113,72,41,803.833333333333,-315,1047,70,70,67,2
