,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,4329224.73078201,14538186.4565289,189.975999999961,98.9919999999723,110,72,38,779.166666666667,22,1047,72,72,67,0
sparse-infra,5666955.42719785,19103648.4156691,67.9995519997245,37.9996799997706,111,72,39,128.805555555556,0,483,41,72,34,0
mod-infra,4346504.98498341,14618112.1979583,161.999999999981,69.9999999999854,112,72,40,774.472222222222,22,1047,72,72,67,0
dense-infra,3619078.57927773,12143706.8305757,198.825407999986,80.9567359999933,113,72,41,874.083333333333,49,1047,72,72,70,0
