,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
persistent-static,7728284.44720439,25954459.6992086,287.418788351909,162.329992575892,166.5,109,57.5,689.341743119266,24.25,934,89.5,108.75,85,0.25
persistent-mobile,9807074.581869,33054688.0629399,129.023357510649,66.3854389985262,166.5,109,57.5,641.105504587154,26.5,991.75,68.25,109,63,0
transient-static,7781464.52430489,26127498.6582928,299.614396390188,169.397835545525,166.5,109,57.5,666.463302752294,-604.5,934,87.5,106.75,83.75,2.25
transient-mobile,9807074.581869,33054688.0629399,129.023357510649,66.3854389985262,166.5,109,57.5,641.105504587154,26.5,991.75,68.25,109,63,0
