,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,4407240.45204817,14766194.3914084,152.999999999965,62.9999999999921,110,72,38,817.083333333333,-198,1047,70,70,67,2
sparse-infra,4401563.0057996,14755313.7836695,184.999999999987,78.9999999999972,111,72,39,817.083333333333,-198,1047,70,70,67,2
mod-infra,4412320.3216421,14766256.0849891,174.99999999997,56.9999999999908,112,72,40,817.083333333333,-198,1047,70,70,67,2
dense-infra,4419698.55148892,14804165.9210959,192.99999999997,81.9999999999906,113,72,41,817.083333333333,-198,1047,70,70,67,2
