,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
persistent-static,7707787.14680745,25908276.4055859,288.637972326345,162.869336570791,166.5,109,57.5,690.506880733945,33,887.5,92,109,86.75,0
persistent-mobile,9781427.51389256,32962105.2055559,136.863741508601,70.6162383574613,166.5,109,57.5,677.266055045869,26.5,1122,71,109,66.25,0
transient-static,8580855.06741658,28868418.3000904,218.584767978932,124.956927994523,166.5,109,57.5,472.931192660551,-601.25,795,73,107,68,2
transient-mobile,9781427.51389256,32962105.2055559,136.863741508601,70.6162383574613,166.5,109,57.5,677.266055045869,26.5,1122,71,109,66.25,0
