,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,369994.728766362,1238854.00084582,21.9999487999999,10.9999872,22,13,9,157.153846153846,-946,779,11,11,8,2
sparse-infra,368886.220398439,1242361.96936042,24.9999103999999,9.99997439999998,23,13,10,157.153846153846,-946,779,11,11,8,2
mod-infra,369117.021515923,1233704.02970063,29.9999359999998,13.9999743999999,24,13,11,254.538461538462,-328,779,11,11,8,2
dense-infra,366198.275406914,1223617.9584629,32.9999487999998,13.9999616,25,13,12,252.538461538462,-341,779,11,11,8,2
