,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,10392604.504989,35038294.2885353,61.9919358975959,36.9973759795199,165,109,56,70.2201834862385,0,409,41,109,30,0
sparse-infra,7654889.67624211,25721769.7579615,302.879977983985,186.559982079993,166,109,57,875.981651376147,49,1047,109,109,106,0
mod-infra,7169620.86248975,24077876.0562933,345.679999999981,195.919999999986,167,109,58,872.825688073395,34,1047,109,109,104,0
dense-infra,5614033.54350896,18795165.5195537,443.99997542382,231.999988223665,168,109,59,943,49,1047,109,109,107,0
