,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,4612039.032446,15464535.4661748,142.99999993856,59.99999997952,110,72,38,1113.38888888889,57,1368,72,72,70,0
sparse-infra,4608079.95849023,15458621.9419667,170.999999885311,55.999999987712,111,72,39,1113.38888888889,57,1368,72,72,70,0
mod-infra,4622531.8580396,15475886.3363737,183.999999873023,61.9999999795199,112,72,40,1113.38888888889,57,1368,72,72,70,0
dense-infra,4628946.49490121,15492403.2153456,193.999999897599,73.9999999508479,113,72,41,1113.38888888889,57,1368,72,72,70,0
