,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,317760.037298444,1065163.00115064,32.9999999999867,12.9999999999869,22,13,9,611.307692307692,49,1047,13,13,11,0
sparse-infra,315891.024666836,1058433.96013592,37.999999999967,14.9999999999934,23,13,10,611.307692307692,49,1047,13,13,11,0
mod-infra,318237.380877263,1062882.03135343,41.9999999999735,12.9999999999869,24,13,11,611.307692307692,49,1047,13,13,11,0
dense-infra,314355.481613951,1046806.96175459,49.9999999999538,17.9999999999868,25,13,12,611.307692307692,49,1047,13,13,11,0
