,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,4621331.22295042,15470398.4646853,168.999999905791,66.9999999754239,110,72,38,1113.38888888889,57,1368,72,72,70,0
sparse-infra,4620697.08134719,15443219.9424956,179.999999954943,67.9999999795199,111,72,39,1113.38888888889,57,1368,72,72,70,0
mod-infra,4622599.53370119,15472973.3361135,159.999999909887,54.999999975424,112,72,40,1113.38888888889,57,1368,72,72,70,0
dense-infra,4619753.10195218,15485663.2148675,188.999999881215,65.9999999672319,113,72,41,1113.38888888889,57,1368,72,72,70,0
