,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,414319.548308481,1403003.99794106,18.9999999508479,6.999999995904,22,13,9,310.076923076923,42,714,13,13,8,0
sparse-infra,421038.567389314,1425373.97833184,20.9999999508479,8.999999975424,23,13,10,310.076923076923,42,714,13,13,8,0
mod-infra,356624.567153798,1200698.03589757,31.9999999959038,8.99999999590399,24,13,11,638.153846153846,57,1171,13,13,11,0
dense-infra,359986.33838533,1202890.9601739,27.9999997870079,10.999999893504,25,13,12,622.076923076923,57,1149,13,13,11,0
