,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,5641129.91955418,18752762.4816409,484.999999997403,264.999999998472,165,109,56,948.990825688073,49,1047,109,109,107,0
sparse-infra,5627730.32497894,18706403.4979067,487.999999998084,233.999999999239,166,109,57,948.990825688073,49,1047,109,109,107,0
mod-infra,5615910.12050007,18690530.7971422,443.999999998052,225.999999998951,167,109,58,948.990825688073,49,1047,109,109,107,0
dense-infra,5657749.05944139,18828129.2400688,469.999999996983,244.999999998361,168,109,59,948.990825688073,49,1047,109,109,107,0
