NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -941  0  188  0
4  -946  0  188  0
5  37  1  111  0
7  95  1  111  0
8  112  1  111  1
10  46  1  129  0
11  62  1  129  0
13  95  1  129  0
14  152  1  129  1
16  322  1  133  1
17  339  1  133  1
19  425  1  133  1
20  497  1  133  1
