,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,209299.733425997,708337.007160937,40.9999871590264,17.9999871999997,22,13,9,57.4615384615385,-31,152,13,11,1,2
sparse-infra,207607.246319225,701284.956758638,45.9999999958899,20.9999999999934,23,13,10,173.846153846154,49,284,13,13,11,0
mod-infra,209535.902616333,708780.978120076,45.9999998969313,19.9999999998361,24,13,11,292.153846153846,49,539,13,13,10,0
dense-infra,205095.069134533,690962.53303314,55.9807999998228,24.9999999999999,25,13,12,479.846153846154,49,737,13,13,11,0
