,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,211047.926234562,716019.692467084,27.9999974318079,14.999998459904,22,13,9,50.7692307692308,0,122,9,13,2,0
sparse-infra,209486.029390874,711134.27676156,24.9999989678079,11.999999483904,23,13,10,50.7692307692308,0,122,9,13,2,0
mod-infra,210147.168423818,710319.978140372,41.9999996846078,22.9999999959039,24,13,11,538.923076923077,57,926,13,13,11,0
dense-infra,206019.480249728,697224.952125781,44.9999995822077,20.9999999959039,25,13,12,438.846153846154,57,926,13,13,11,0
