,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,10385182.6031906,35016949.1791915,53.7951999999539,27.7999999999868,165,109,56,71.5137614678899,-23,595,31,108,23,1
sparse-infra,7655294.50066819,25721810.637971,303.879977983985,185.519982079993,166,109,57,875.981651376147,49,1047,109,109,106,0
mod-infra,7258714.14148962,24283935.4601223,346.999999999878,202.999999999925,167,109,58,866.871559633028,22,1047,109,109,104,0
dense-infra,5613946.54346914,18795143.5195497,444.99997542382,232.999988223665,168,109,59,943,49,1047,109,109,107,0
