,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,420786.175171074,1425606.99212606,18.9999989678079,6.99999948390399,22,13,9,294.461538461538,25,692,13,13,8,0
sparse-infra,424124.265261822,1434379.97743488,22.9999979519999,8.999998976,23,13,10,294.461538461538,25,692,13,13,8,0
mod-infra,357723.301975022,1201322.03583387,30.9999999959038,13.9999999959039,24,13,11,638.153846153846,57,1171,13,13,11,0
dense-infra,355982.744387458,1193320.96028726,38.9999999795197,13.999999991808,25,13,12,638.153846153846,57,1171,13,13,11,0
