,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,3674564.48838036,12221628.6466743,241.999999999867,116.999999999954,110,72,38,898.625,49,1047,72,72,70,0
sparse-infra,3651659.32212488,12165166.7749575,223.999999999841,74.9999999999737,111,72,39,898.625,49,1047,72,72,70,0
mod-infra,3671787.58718862,12215270.2030063,241.999999999815,99.9999999999671,112,72,40,898.625,49,1047,72,72,70,0
dense-infra,3654554.64714867,12165910.2881589,223.999999999828,86.9999999999671,113,72,41,898.625,49,1047,72,72,70,0
