,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,10388018.4638978,35026636.1786712,41.7951999999671,23.7999999999606,165,109,56,52.9816513761468,-946,595,29,106,23,3
sparse-infra,6860718.06272602,22994411.4035336,373.662399487985,207.791356927993,166,109,57,865.238532110092,-946,1047,107,107,104,2
mod-infra,7258964.09475504,24284530.4601191,343.999999999878,201.999999999925,167,109,58,861.862385321101,-224,1047,107,107,104,2
dense-infra,6618157.4758407,22204416.5908471,438.999986072923,243.999985254222,168,109,59,885.770642201835,-302,1047,107,107,104,2
