,TotalKb,TotalPackets,InSatisfiedInterests,OutSatisfiedInterests,TotalNodes,TotalConsumers,TotalProducers,AverageAwarenessDistance,MinimumAwarenessDistance,MaximumAwarenessDistance,TotalInformed,TotalInformedBefore,TotalSafelyInformed,TotalInformedAfter
non-infra,7156124.88088169,23886564.3676391,340.999999963134,187.999999991807,165,109,56,1199.81651376147,57,1368,109,109,107,0
sparse-infra,7112776.87274332,23820434.4391298,375.999999770622,186.999999905791,166,109,57,1199.81651376147,57,1368,109,109,107,0
mod-infra,7114636.35146564,23831897.5886697,288.999999795199,122.999999946752,167,109,58,1199.81651376147,57,1368,109,109,107,0
dense-infra,7180434.35312494,24042409.1187622,354.999999815678,156.99999997952,168,109,59,1199.81651376147,57,1368,109,109,107,0
